Index,Description,SMILES,Reaction Type,Reaction Family,Num Recommendations,Top Condition
1,"Suzuki - Simple Ph-Ph","Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1",C-C Coupling,Unknown,7,"Potassium carbonate / Ethanol"
2,"Suzuki - Electron-poor ArCl","Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1>>N#Cc1ccc(-c2ccccc2)cc1",C-C Coupling,Unknown,9,"Tripotassium phosphate / Water"
3,"Suzuki - Electron-rich ArBr","Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1>>COc1ccc(-c2ccccc2)cc1",C-C Coupling,Unknown,10,"0.167 h"
4,"Suzuki - Heteroaryl pyridine","Ic1ccncc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccncc2)cc1",C-C Coupling,Unknown,4,"Potassium carbonate / Ethanol"
5,"Suzuki - CF3 substrate","Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1",C-C Coupling,Unknown,10,"Potassium carbonate / Ethanol"
6,"Suzuki - Naphthyl chloride","Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc3ccccc3c2)cc1",C-C Coupling,Unknown,6,"Tripotassium phosphate / Water"
7,"Suzuki - Sterically hindered","Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1>>Cc1ccc(C)c(-c2ccccc2)c1",C-C Coupling,Unknown,8,"Potassium carbonate / Water"
8,"Suzuki - Aryl triflate electrophile","Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>Fc1ccc(-c2ccccc2)cc1",C-C Coupling,Unknown,10,"Potassium carbonate / Ethanol"
9,"Suzuki - Vinyl bromide + vinyl boronic acid","C/C=C/Br.C=CB(O)O>>C/C=C/C=C",C-C Coupling,Unknown,1,"Triethylamine / N;N-Dimethylformamide"
10,"Suzuki - Potassium aryltrifluoroborate","Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2>>COc1ccc(-c2ccccc2)cc1",C-C Coupling,Unknown,10,"0.167 h"
11,"Suzuki - 2-pyridyl MIDA slow-release","Clc1ccncc1.c1ccncc1B1OC(=O)CN(CC(=O)O)C(=O)CN(CC(=O)O)C(=O)O1>>c1ccc(-c2ccccn2)nc1",C-C Coupling,Unknown,6,"Potassium carbonate / N;N-Dimethylformamide"
12,"Suzuki - Dichloropyridine","Brc1ccc(Cl)nc1.c2ccc(B(O)O)cc2>>c1ccc(-c2ccc(Cl)nc2)cc1",C-C Coupling,Unknown,10,"Sodium carbonate / 1;4-Dioxane"
13,"Suzuki - Mixed halide pyridine","Brc1cc(Cl)nc(Cl)c1.c2ccc(B(O)O)nc2>>c1ccc(-c2cc(Cl)nc(Cl)c2)nc1",C-C Coupling,Unknown,10,"Sodium carbonate / 1;4-Dioxane"
14,"Suzuki - Indole heterobiaryl","Brc1cccc2[nH]ccc12.c3ccc(B(O)O)cc3>>c1ccc(-c2ccc3[nH]ccc3c2)cc1",C-C Coupling,Unknown,10,"Potassium carbonate / 1;2-Dimethoxyethane"
