reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-18398960,C_O_Coupling,82,,,Cc1cnc(Cl)nc1-c1cnn(C)c1.Nc1ccc2c(c1)CCN2S(=O)(=O)c1ccc(C(F)(F)F)cc1>>Cc1cnc(Nc2ccc3c(c2)CCN3S(=O)(=O)c2ccc(C(F)(F)F)cc2)nc1-c1cnn(C)c1,"Chemistry - A European Journal (2017), 23(69), 17576-17583","1493-27-2, 321954-99-8",3033041-49-2,"534-17-8, 7647-01-0","1118-71-4, 7758-89-6","872-50-4, 7732-18-5",,,,,,,2,1,82,,,,,,,Ullmann reaction (stage 1)
31-113-CAS-21749846,Ullmann鈥揋oldberg N鈥慳rylation,85,,,Sc1ccccc1Br.Brc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)s1>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Sc2ccsc2-3)cc1,"Tetrahedron (2020), 76(7), 130915","51417-51-7, 1648711-12-9",2813352-62-2,584-08-7,"66-71-7, 7681-65-4",68-12-2,,,,,,,1,1,85,,,,,,,Ullmann reaction
31-113-CAS-21945058,Ullmann鈥揋oldberg N鈥慳rylation,6,,,Nc1nc2ccccc2[nH]1.Brc1ccccc1-c1cc2ccccc2[nH]1>>c1ccc(-c2cc3ccccc3[nH]2)cc1.c1ccc2c(c1)cc1c3ccccc3n3c4ccccc4nc3n21,"European Journal of Organic Chemistry (2020), 2020(19), 2807-2812",461039-25-8,"3095060-62-8, 3095060-72-0",534-17-8,"66-71-7, 7681-65-4",68-12-2,,,,,,,1,1,6,73,,,,,,"microwave irradiation, regioselective, alternative preparation shown for quinazoline-Benzimidazol,optimization study (optimized on reaction conditions),conversion = 100%,product depend on reaction conditions"
31-170-CAS-21439459,Ullmann鈥揋oldberg N鈥慳rylation,87,,,Brc1ccccc1I.Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Oc2ccccc2-3)cc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858","175278-00-9, 3069272-49-4",3069272-40-5,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,87,,,,,,,"Ullmann reaction, optimization study (optimized on catalysts, reagent, solvent and temperature)"
31-170-CAS-21439460,Ullmann鈥揋oldberg N鈥慳rylation,86,,,Brc1ccccc1I.COc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1O>>COc1cccc2c1Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858","6320-02-1, 2408727-77-3",2408727-86-4,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,86,,,,,,,Ullmann reaction
31-170-CAS-21439461,Ullmann鈥揋oldberg N鈥慳rylation,89,,,Brc1ccccc1I.CCOc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1O>>CCOc1cccc2c1Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858","535-75-1, 868620-46-6",3094505-02-6,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,89,,,,,,,Ullmann reaction
31-170-CAS-21439462,Ullmann鈥揋oldberg N鈥慳rylation,79,,,Brc1ccccc1I.Oc1cc(F)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>Fc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858","100-00-5, 107-10-8",103796-64-1,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,79,,,,,,,Ullmann reaction
31-170-CAS-21439463,Ullmann鈥揋oldberg N鈥慳rylation,82,,,Brc1ccccc1I.Cc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>Cc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858","70-55-3, 2747281-46-3",2747281-44-1,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,82,,,,,,,Ullmann reaction
31-170-CAS-21439464,Ullmann鈥揋oldberg N鈥慳rylation,87,,,Brc1ccccc1I.COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>COc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858","1740-25-6, 6320-02-1",2408727-78-4,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,87,,,,,,,Ullmann reaction
31-170-CAS-21439465,Ullmann鈥揋oldberg N鈥慳rylation,89,,,Brc1ccccc1I.CCN(CC)c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>CCN(CC)c1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858",2995282-04-5,2995282-31-8,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,89,,,,,,,Ullmann reaction
