reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
IBX,Oxidation_alcohol,OCCCCO.CC(C)[Si](Cl)(C(C)C)C(C)C>>CC(C)[Si](OCCCC=O)(C(C)C)C(C)C,|RCH2-OH -> RCH2-CHO | spectators: Alkyl-Si*,RCH2-OH,Alkyl-Si*,,RCH2-CHO|R_acidic-H,,,NaH,,,,,,64297-64-9,THF/DMSO,Si*,"Tetrahedron Letters (2019), 60(15), 1037-1042",71,-1.22
IBX,Oxidation_alcohol,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CI>>CO[C@]1(C)CC[C@H](C(C)C)CC1=O,|CH3-I|R2CH-OH|R3C-OH -> RCH2-COR | bond_formed: C-O | bond_formed_labeled: C-O | bond_broken: C-I,R3C-OH|R2CH-OH,CH3-I,,R3C-OR|RCH2-COR|R_acidic-H,Platinum (IV) oxide hydrate,,,,,,Ag2O,,64297-64-9,MeOH/EtOAc/MeCN,,"Beilstein Journal of Organic Chemistry (2018), 142461-2467",96,0.0
IBX,Oxidation_alcohol,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F>>CC(C)[C@H]1CC[C@@](C)(O[Si](C)(C)C(C)(C)C)C(=O)C1,|Alkyl-F|R2CH-OH|R3C-OH -> RCH2-COR | spectators: Alkyl-Si*,R3C-OH|R2CH-OH,Alkyl-F,,RCH2-COR|R_acidic-H,Platinum (IV) oxide hydrate,,Lutidine,HCl,,,,,64297-64-9,MeOH/EtOAc/DCM/H2O,Si*,"Beilstein Journal of Organic Chemistry (2018), 142461-2467",81,0.0
IBX,Oxidation_alcohol,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC>>COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)C=CC(=O)CC2)cc1OC,|Ar-Alkyl|Ar-SO2Cl|R2CH-OH|RCH2-OH -> Alkenyl-COR | spectators: Ar-OR,Ar-SO2Cl|Ar-Alkyl,RCH2-OH|R2CH-OH|Ar-Alkyl,,Alkenyl-COR|Alkyl-OTs|R_acidic-H,,,Pyridine,,,,,,64297-64-9,DCM/DMSO,OR,"New Journal of Chemistry (2016), 40(11), 9432-9440",79,0.0
IBX,Oxidation_alcohol,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC>>COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)CCC(=O)CC2)cc1OC,|Ar-Alkyl|Ar-SO2Cl|R2CH-OH|RCH2-OH -> RCH2-COR | spectators: Ar-OR,Ar-SO2Cl|Ar-Alkyl,RCH2-OH|R2CH-OH|Ar-Alkyl,,Alkyl-OTs|RCH2-COR|R_acidic-H,,,Pyridine,,,,,,64297-64-9,DCM/DMSO,OR,"New Journal of Chemistry (2016), 40(11), 9432-9440",91,0.0
IBX,Oxidation_alcohol,COCOc1ccc(OCc2ccccc2)c(C(O)c2c(OCc3ccccc3)ccc(OCOC)c2F)c1F>>COCOc1ccc(O)c(C(=O)c2c(O)ccc(OCOC)c2F)c1F,|Ar-Alkyl|Ar-OR|R2CH-OH -> Ar-COR | bond_broken: C-O | spectators: Ar-F|RCH2-OR,R2CH-OH|Ar-OR|Ar-Alkyl,,,Ar-COR|Ar-OH,,,,,,H2,,,"64297-64-9/Sodiumthiosulfate,0.01NStandardizedSolution/7440-05-3",DMSO/H2O/EtOAc,F / OR,"Synlett (2016), 27(15), 2229-2232",92,0.0
IBX,Unknown,CC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H](C)/C=C(\C)[C@@H](O)CC(=O)SCCNC(C)=O>>CC[C@@H](O)[C@@H](C)/C=C(\C)C(=O)CC(=O)SCCNC(C)=O,|Alkyl-Si* -> Alkenyl-COR | bond_broken: O-Si | spectators: Alkyl-NHCOR|R2CH-OH|R_acidic-H,Alkyl-Si*,,,Alkenyl-COR,,,NaHCO3,,,,,,"64297-64-9/Hydrofluoricacid,ACS,48-",EtOAc/MeCN/H2O,OH / NHCOR,"Chemical Science (2015), 6(8), 5027-5033",86,0.0
IBX,Michael_addition,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1cccc(Cl)c1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1cccc(Cl)c1,|Alkenyl-CO2R -> Ar-COR|R2CH-CO2R|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | spectators: Ar-Alkyl|Ar-Cl|AromN-H|HeteroAr-H|Indole,HeteroAr-H,Alkenyl-CO2R|R2CH-OH,,Ar-COR|R2CH-CO2R|R_acidic-H,,,,,,,,,64297-64-9,MeCN,Indole / AromN / Cl / HeteroAr,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",87,0.0
IBX,Michael_addition,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1ccc(OC)cc1,|Alkenyl-CO2R -> Ar-COR|R2CH-CO2R|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | spectators: Ar-Alkyl|Ar-OR|AromN-H|HeteroAr-H|Indole,HeteroAr-H,Alkenyl-CO2R|R2CH-OH,,Ar-COR|R2CH-CO2R|R_acidic-H,,,,,,,,,64297-64-9,MeCN,Indole / AromN / HeteroAr / OR,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",88,1.6
IBX,Michael_addition,COc1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccc(OC)cc12)C(=O)c1ccc(OC)cc1,|Alkenyl-CO2R -> Ar-COR|R2CH-CO2R|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | spectators: Ar-Alkyl|Ar-OR|AromN-H|HeteroAr-H|Indole,HeteroAr-H,Alkenyl-CO2R|R2CH-OH,,Ar-COR|R2CH-CO2R|R_acidic-H,,,,,,,,,64297-64-9,MeCN,Indole / AromN / HeteroAr / OR,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",79,0.38
