reaction_id,detected_reaction_type,reaction_smiles,yield,z_score,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,Reaction_Key
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.N#Cc1ccc(Br)cc1>>N#Cc1ccc(C(=O)c2ccccc2)cc1,91,1.06,Acyl-CO2H,Ar-Br,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CN / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-CN|Ar-COR
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.N#Cc1ccc(I)cc1>>N#Cc1ccc(C(=O)c2ccccc2)cc1,93,0.0,Acyl-CO2H,Ar-I,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CN / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-I -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: C(ar)-I; C-C | spectators: Ar-CN|Ar-COR
Decarboxylative_arylation,Minisci_acylation,FC(F)(F)c1ccc(Br)cc1.O=C(O)C(=O)c1ccccc1>>O=C(c1ccccc1)c1ccc(C(F)(F)F)cc1,86,0.58,Ar-Br,Acyl-CO2H,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CF3 / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: C-C; Br-C(ar) | spectators: Ar-CF3|Ar-COR
Decarboxylative_arylation,Minisci_acylation,CC(=O)c1ccc(Br)cc1.O=C(O)C(=O)c1ccccc1>>CC(=O)c1ccc(C(=O)c2ccccc2)cc1,84,0.71,Ar-Br,Acyl-CO2H,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-COR|R_acidic-H
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.COC(=O)c1ccc(Br)cc1>>COC(=O)c1ccc(C(=O)c2ccccc2)cc1,85,0.53,Acyl-CO2H,Ar-Br,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CO2R / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-CO2R|Ar-COR
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.CCOC(=O)c1ccc(Br)cc1>>CCOC(=O)c1ccc(C(=O)c2ccccc2)cc1,87,0.62,Acyl-CO2H,Ar-Br,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CO2R / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-CO2R|Ar-COR
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.O=Cc1ccc(Br)cc1>>O=Cc1ccc(C(=O)c2ccccc2)cc1,61,0.0,Acyl-CO2H,Ar-Br,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CHO / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-CHO|Ar-COR
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.N#Cc1ccccc1Br>>N#Cc1ccccc1C(=O)c1ccccc1,58,-0.92,Acyl-CO2H,Ar-Br,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CN / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-CN|Ar-COR
Decarboxylative_arylation,Minisci_acylation,COC(=O)c1ccccc1Br.O=C(O)C(=O)c1ccccc1>>COC(=O)c1ccccc1C(=O)c1ccccc1,49,-1.15,Ar-Br,Acyl-CO2H,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CO2R / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-CO2R|Ar-COR
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.O=C(c1ccccc1)c1ccccc1Br>>O=C(c1ccccc1)c1ccccc1C(=O)c1ccccc1,41,-1.08,Acyl-CO2H,Ar-Br,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: C-C; Br-C(ar) | spectators: Ar-COR
Decarboxylative_arylation,Minisci_acylation,O=C(O)C(=O)c1ccccc1.N#Cc1ccc(Br)cc1C(F)(F)F>>N#Cc1ccc(C(=O)c2ccccc2)cc1C(F)(F)F,84,0.71,Acyl-CO2H,Ar-Br,,,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,CF3 / CN / COR,"Organic Letters (2020), 22(17), 6832-6837",CRK-v1 |Ar-Br -> [] | products_broad: [] | bond_formed: C-C(ar) | bond_broken: Br-C(ar); C-C | spectators: Ar-CF3|Ar-CN|Ar-COR
