reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
BartonMcCombie_deoxygenation,Reduction_ester_to_alcohol,COC(=O)[C@H](OC(=S)SC)[C@H](NC(=O)OC(C)(C)C)c1ccccc1>>CC(C)(C)OC(=O)N[C@@H](CCO)c1ccccc1,|Alkyl-OCSSR|R2CH-COOR -> RCH2-OH | spectators: Alkyl-N*|Alkyl-O*|Ar-Alkyl,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C;+C-C(ar) / -C-O;-C-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular",R2CH-COOR|R_acidic-H|Alkyl-OCSSR,,,RCH2-OH,,,,,,LiAlH4,,,,THF/H2O,N* / O*,"Tetrahedron: Asymmetry (2007), 18(17), 2099-2103",81,0.0
BartonMcCombie_deoxygenation,Event:C-C,CSC(=S)OC12CC3CC(CC(C3)C1)C2>>C1C2CC3CC1CC(C2)C3,|Alkyl-OCSSR -> Alkyl-H,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C / -C-O;-C-S | summary:fam=bond_formation, redox=net_reduction, q=medium(0.50), mol=intramolecular",Alkyl-OCSSR,,,Alkyl-H,,,,,,,,,78-67-1/1873-77-4,PhMe,,"Chemical Communications (Cambridge, United Kingdom) (2008), (26), 3025-3027",77,-1.15
BartonMcCombie_deoxygenation,Unresolved:NoMotifEvidence,CC1(C)O[C@H]2[C@@H](O1)[C@@H](COC(=S)Oc1ccccc1)O[C@@H]1OC(C)(C)O[C@@H]12>>C[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21,|Ar-OR|RCH2-OR -> [] | spectators: R2CH-OR|R3C-OR,"summary:redox=uncertain, q=low(0.30), mol=unknown, ring=-1",Ar-OR|RCH2-OR,,,None,,,,,,,,,688-73-3/78-67-1,CPME,OR,"Tetrahedron (2013), 69(10), 2251-2259",76,0.0
BartonMcCombie_deoxygenation,Unknown,CCCCCCCCCCCCOC(=S)SC>>CCCCCCCCCCCC,|Alkyl-OCSSR -> Alkyl-H,"bonds:-C-O | summary:redox=net_reduction, q=high(1.00), mol=unknown",Alkyl-OCSSR,,,Alkyl-H,,,,,,,,,78-67-1/1873-77-4,PhMe,,"Chemical Communications (Cambridge, United Kingdom) (2008), (26), 3025-3027",89,0.51
BartonMcCombie_deoxygenation,Event:C-C,COc1ccc(O[C@@H]2O[C@H](COC(=S)Oc3ccccc3)[C@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1>>COc1ccc(O[C@@H]2O[C@H](C)[C@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1,|Ar-OR|RCH2-OR -> [] | spectators: Bn-OR|R2CH-OH|R2CH-OR,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C(ar)-C(ar);+C-C / -C-C(ar);-C-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular, ring=-1 | alerts:risk=overreaction_or_chemoselectivity",Ar-OR|RCH2-OR,,,None,,,,,,,,,1873-77-4/78-67-1,PhMe,OH / OR,"Organic & Biomolecular Chemistry (2020), 18(26), 5017-5033",91,0.0
BartonMcCombie_deoxygenation,Event:C-C,CSC(=S)OCCCCCCCCCCCl>>CCCCCCCCCCCl,|Alkyl-OCSSR -> [] | spectators: RCH2-Cl,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C / -C-O;-C-S | summary:fam=bond_formation, redox=net_reduction, q=medium(0.50), mol=intramolecular",Alkyl-OCSSR,,,None,,,,,,,,,78-67-1/1873-77-4,PhMe,Cl,"Chemical Communications (Cambridge, United Kingdom) (2008), (26), 3025-3027",70,0.0
BartonMcCombie_deoxygenation,Event:C-C,CO[C@@H]1O[C@H](COC(=S)Oc2ccccc2)[C@@H](O)[C@H](O)[C@H]1O>>CO[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@H]1O,|Ar-OR|RCH2-OR -> [] | spectators: R2CH-OH|R2CH-OR,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C / -C-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular, ring=-1 | alerts:risk=overreaction_or_chemoselectivity",Ar-OR|RCH2-OR,,,None,,,,,,,,,688-73-3/78-67-1,PhMe,OH / OR,"Chemistry - A European Journal (2012), 18(16), 4850-4853, S4850/1-S4850/63",74,0.0
BartonMcCombie_deoxygenation,Event:C-C,CSC(=S)OC[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21>>C[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21,|Alkyl-OCSSR -> [] | spectators: R2CH-OR|R3C-OR,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C / -C-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular",Alkyl-OCSSR,,,None,,,,,,,,,78-67-1/1873-77-4,PhMe,OR,"Chemical Communications (Cambridge, United Kingdom) (2008), (26), 3025-3027",93,0.0
BartonMcCombie_deoxygenation,Event:C-C,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=S)Oc2ccccc2)[C@@H]1O>>CO[C@H]1O[C@H](CO)[C@@H](O)C[C@@H]1O,|Ar-OR|R2CH-OR -> [] | spectators: R2CH-OH|RCH2-OH,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C / -C-O;-C-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular, ring=-1 | alerts:risk=overreaction_or_chemoselectivity",Ar-OR|R2CH-OR,,,None,,,,,,,,,688-73-3/78-67-1,PhMe,OH,"Chemistry - A European Journal (2012), 18(16), 4850-4853, S4850/1-S4850/63",98,0.5
BartonMcCombie_deoxygenation,Event:C-C,COC(=O)[C@H](OC(=S)SC)[C@H](NC(=O)OC(C)(C)C)c1ccccc1>>COC(=O)C[C@H](NC(=O)OC(C)(C)C)c1ccccc1,|Alkyl-OCSSR|R2CH-COOR -> RCH2-COOR|R_acidic-H | spectators: Alkyl-N*|Alkyl-O*|Ar-Alkyl|R_acidic-H,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C;+C-C(ar) / -C-O;-C-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular",R2CH-COOR|Alkyl-OCSSR,,,RCH2-COOR|R_acidic-H,,,,,,,,,688-73-3/78-67-1,PhMe,N* / O*,"Tetrahedron: Asymmetry (2007), 18(17), 2099-2103",80,0.0
