reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Knorr_pyrrole_synthesis,Multi-Event:Ann+LGDisp+C-N+C-C,Oc1ccccc1.COCCOCCOCCOCCBr.O=C(CCC(=O)c1cccs1)c1cccs1>>COCCOCCOCCOCCOc1ccc(-n2c(-c3cccs3)ccc2-c2cccs2)cc1,|Ar-COR|RCH2-Br -> Ar-AromN | spectators: HeteroAr-H|RCH2-OR|Thiophene,"sig:Ann+LGDisp+C-N+C-C | bonds:+C(ar)-N;+C-C(ar);+C-N / -Br-C;-C(ar)-C(ar);-C-C | context:LG=Br, Nu=N, mech=SNAr | summary:fam=annulation+substitution, redox=neutral, q=medium(0.50), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Ar-OH,RCH2-Br,Ar-COR|R_acidic-H,Ar-AromN|Ar-OR|HeteroAr-Ar|HeteroAr-H,,,K2CO3/Pyridine,HCl,,,KI/TMSCl,,"Kieselguhr/Nitricacid,0.1NStandardizedSolution/tin(II) chloride",Cyclohexanone/DCM/EtOH/H2O,Thiophene / HeteroAr / OR,"Journal of Polymer Science, Part A: Polymer Chemistry (2018), 56(11), 1133-1139",50.0,0.0
Knorr_pyrrole_synthesis,Reduction_carbonyl_to_alcohol,C[C@H]1[C@H](N)C(=O)O[C@@H]1C.CC[Si](CC)(CC)OCC(=O)CCC(=O)COC1CCCCO1>>C[C@H]1[C@H](n2c(CO)ccc2COC2CCCCO2)C(=O)O[C@@H]1C,|Alkyl-O*|Alkyl-Si*|RCH2-COR|RCH2-OR -> Bn-OH | spectators: R2CH-COOR|R_acidic-H,"sig:Ann+C-O+C-C | bonds:+C-C;+C-O / -C-Si;-O-Si | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",R2CH-NH2|R_acidic-H,RCH2-COR|R_acidic-H|Alkyl-Si*|RCH2-OR|Alkyl-O*,,Alkyl-AromN|Bn-OH|Bn-OR|HeteroAr-H,,,Et3N/NaHCO3,,,,AcOH/TBAF,,,DCM/THF/H2O,COOR / OR,"Tetrahedron Letters (2011), 52(44), 5744-5746",67.0,0.0
Knorr_pyrrole_synthesis,Amide_formation / Wittig_reaction,CC(C)[C@H](N)C(=O)O.COc1ccc(C(CC(=O)c2ccccc2)C(=O)O)cc1>>COc1ccc(C2=CC(c3ccccc3)N(CC(C)C)C2=O)cc1,|Ar-COR|R2CH-COOH|R2CH-NH2 -> Alkenyl-CONR2|Alkyl-NRCOR | spectators: Ar-Alkyl|Ar-OR,"sig:Amid+Ann+C-N | bonds:+C-N / -C-O | context:mech=acyl_substitution | summary:fam=acyl_transfer+annulation+bond_formation, redox=neutral, q=medium(0.50), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=amidation_without_explicit_activation_marker+multi_transform_record_possible",R2CH-COOH|R2CH-NH2|R_acidic-H,R2CH-COOH|Ar-COR|R_acidic-H,,Alkenyl-CONR2|Alkyl-NRCOR|Ar-Alkenyl|R2CH-Alkenyl,,,,,,,AcOH,,,,OR,"Journal of Organic Chemistry (2010), 75(21), 7435-7438",32.0,0.0
Knorr_pyrrole_synthesis,Event:Ann,CC(=O)CCC(C)=O.NCCN(CCN)CCN>>Cc1ccc(C)n1CCN(CCn1c(C)ccc1C)CCn1c(C)ccc1C,|RCH2-COR -> Alkyl-AromN|Ar-Alkyl|HeteroAr-H | spectators: RCH2-NR2,"kinds:ring_closure_or_annulation | bonds:-C-O | summary:fam=annulation, redox=net_reduction, q=high(1.00), mol=unknown, ring=+3 | alerts:risk=overreaction_or_chemoselectivity",RCH2-COR|R_acidic-H,RCH2-NH2,,Alkyl-AromN|Ar-Alkyl|HeteroAr-H,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,Kieselguhr/Chlorosulfonic acid,,NR2,"Tetrahedron Letters (2010), 51(16), 2109-2114",98.0,0.71
Knorr_pyrrole_synthesis,Multi-Event:Ann+C-N+C-C,NCc1ccccc1.CC(=O)CCC(C)=O>>Cc1ccc(C)n1Cc1ccccc1,|Bn-NH2|RCH2-COR -> Ar-Alkyl,"sig:Ann+C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Bn-NH2,RCH2-COR|R_acidic-H,,Alkyl-AromN|Ar-Alkyl|HeteroAr-H,,,,,,,,,620164-25-2,MeCN,,"South African Journal of Chemistry (2009), 6233-38",98.0,0.9
Knorr_pyrrole_synthesis,Event:Ann,NC(N)=S.CC(=O)CCC(C)=O>>Cc1ccc(C)n1C(N)=S,|RCH2-COR|Unclassified-Reactant -> Ar-Alkyl|HeteroAr-H,"kinds:ring_closure_or_annulation | summary:fam=annulation, redox=uncertain, q=low(0.25), mol=unknown, ring=+1 | alerts:anom=bond_key_demoted_due_to_inconsistency",Unclassified-Reactant,RCH2-COR|R_acidic-H,,Ar-Alkyl|HeteroAr-H,,,,p-TsOH,,,,,,EtOH,,"Chinese Chemical Letters (2010), 21(8), 919-921",25.0,0.0
Knorr_pyrrole_synthesis,Event:Ann,CC(=O)CCC(C)=O.NC(CO)(CO)c1ccccc1>>Cc1ccc(C)n1C(CO)(CO)c1ccccc1,|RCH2-COR -> Alkyl-AromN|Ar-Alkyl|HeteroAr-H | spectators: Ar-Alkyl|RCH2-OH,"kinds:ring_closure_or_annulation | bonds:-C-O | summary:fam=annulation, redox=net_reduction, q=high(1.00), mol=unknown, ring=+1 | alerts:risk=overreaction_or_chemoselectivity",RCH2-COR|R_acidic-H,R3C-NH2,,Alkyl-AromN|Ar-Alkyl|HeteroAr-H,,,,,,,,,,,OH,"Journal of Heterocyclic Chemistry (1976), 13(2), 337-48",0.0,0.0
Knorr_pyrrole_synthesis,Event:Ann,CC(=O)CCC(C)=O.Nc1cccc2ccccc12>>Cc1ccc(C)n1-c1cccc2ccccc12,|Ar-NH2|RCH2-COR -> Ar-Alkyl|Ar-AromN|HeteroAr-H,"kinds:ring_closure_or_annulation | summary:fam=annulation, redox=uncertain, q=low(0.25), mol=unknown, ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=bond_key_demoted_due_to_inconsistency",RCH2-COR|R_acidic-H,Ar-NH2,,Ar-Alkyl|Ar-AromN|HeteroAr-H,,,,,,,,,120025-70-9,,,"Journal of Heterocyclic Chemistry (2010), 47(2), 446-448",85.0,-0.43
Knorr_pyrrole_synthesis,Event:Ann,CC(=O)CCC(C)=O.Nc1cccc2ccccc12>>Cc1ccc(C)n1-c1cccc2ccccc12,|Ar-NH2|RCH2-COR -> Ar-Alkyl|Ar-AromN|HeteroAr-H,"kinds:ring_closure_or_annulation | summary:fam=annulation, redox=uncertain, q=low(0.25), mol=unknown, ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=bond_key_demoted_due_to_inconsistency",RCH2-COR|R_acidic-H,Ar-NH2,,Ar-Alkyl|Ar-AromN|HeteroAr-H,,,,,,,,,,,,"Chinese Chemical Letters (2010), 21(6), 664-668",85.0,-0.43
Knorr_pyrrole_synthesis,Event:Ann,COc1ccc(N)cc1.CC(=O)CCC(=O)c1ccccc1>>COc1ccc(-n2c(C)ccc2-c2ccccc2)cc1,|Ar-COR|Ar-NH2|RCH2-COR -> Ar-Alkyl|Ar-AromN|HeteroAr-Ar|HeteroAr-H | spectators: Ar-OR,"kinds:ring_closure_or_annulation | summary:fam=annulation, redox=uncertain, q=low(0.25), mol=unknown, ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=bond_key_demoted_due_to_inconsistency",Ar-NH2,RCH2-COR|Ar-COR|R_acidic-H,,Ar-Alkyl|Ar-AromN|HeteroAr-Ar|HeteroAr-H,,,,,,,,,bismuth(3+) ion trinitrate,DCM,OR,"Tetrahedron Letters (2005), 46(15), 2643-2645",80.0,0.0
