reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
suzuki_miyaura_sample500,Suzuki_miyaura,CC1(C)OB(c2ccc(CBr)cc2)OC1(C)C.Ic1ccc(-[n+]2ccc(-c3ccncc3)cc2)cc1.[Cl-]>>OCc1ccc(-c2ccc(-[n+]3ccc(-c4ccncc4)cc3)cc2)cc1.[Cl-],Ar-Bpin|Ar-I -> Ar-Ar || Ar-Ar|Ar-AromN|HeteroAr-H|Inorganic,Ar-Bpin|Bn-Br,Ar-I,Inorganic,Ar-Ar|Bn-OH,Pd(OAc)2,,Na2CO3,,,,,,,H2O,AromN / Inorganic,"Chemistry - A European Journal (2019), 25(13), 3257-3261",99,0.0
suzuki_miyaura_sample500,Unknown,Ic1ccccc1.COc1ccc2nc(C3=C(/C=C/c4ccccc4)C(C)OB3O)sc2c1>>COc1ccc2nc(/C(=C(\C=C\c3ccccc3)C(C)O)c3ccccc3)sc2c1,Alkenyl-B*|Ar-I -> R2CH-OH || Alkenyl-Alkenyl|Ar-Alkenyl|Ar-OR|HeteroAr-H,Ar-I,Alkenyl-B*,,R2CH-OH,PD(PPH3)4,,K3PO4,,,,,,,DMF/H2O,OR,"Organic Letters (2015), 17(6), 1605-1608",90,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,OB1OCc2c1ccc(F)c2F.Nc1nc(Cl)nc(NCc2cccc(F)c2)n1>>Nc1nc(NCc2cccc(F)c2)nc(-c2ccc(F)c(F)c2CO)n1,Ar-B*|HeteroAr-Cl -> Ar-Ar || Ar-F|HeteroAr-NH2|HeteroAr-NHR,Ar-B*|Ar-Alkyl,HeteroAr-Cl,,Ar-Ar|Bn-OH,PD(PPH3)4,,K2CO3,,,,,,,Dioxane/H2O,NH2 / NHR / F,"Nature (London, United Kingdom) (2015), 527(7579), 477-483",86,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,Ic1ccccc1.CC1OB(O)C(c2nc3ccccc3o2)=C1/C=C/c1ccccc1>>CC(O)C(/C(=C/c1ccccc1)c1ccccc1)=C(\c1ccccc1)c1nc2ccccc2o1,Alkenyl-B*|Ar-I -> Ar-Alkenyl || Alkenyl-Alkenyl|Ar-Alkenyl|HeteroAr-H,Ar-I,Alkenyl-B*,,Ar-Alkenyl|R2CH-OH,PD(PPH3)4,,K3PO4,,,,,,,PhMe/H2O,,"Organic Letters (2015), 17(6), 1605-1608",71,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,OB1OCc2ccccc21.CC(C)(C)c1cc(Br)c(N)c(Br)c1>>CC(C)(C)c1cc(-c2ccccc2CO)c(N)c(-c2ccccc2CO)c1,Ar-B*|Ar-Br -> Ar-Ar || Ar-Alkyl|Ar-NH2,Ar-B*|Ar-Alkyl,Ar-Br|Ar-Alkyl,,Ar-Ar|Bn-OH,PD(PPH3)4,,K2CO3,,,,,,,EtOH/PhMe/H2O,NH2,"Chemical Science (2015), 6(1), 436-441",90,-0.71
suzuki_miyaura_sample500,Suzuki_miyaura,OB1OCc2ccccc21.CCCCCCCCCCc1cc(Br)c(N)c(Br)c1>>CCCCCCCCCCc1cc(-c2ccccc2CO)c(N)c(-c2ccccc2CO)c1,Ar-B*|Ar-Br -> Ar-Ar || Ar-Alkyl|Ar-NH2,Ar-B*|Ar-Alkyl,Ar-Br|Ar-Alkyl,,Ar-Ar|Bn-OH,PD(PPH3)4,,K2CO3,,,,,,,EtOH/PhMe/H2O,NH2,"Chemical Science (2015), 6(1), 436-441",93,0.71
suzuki_miyaura_sample500,Suzuki_miyaura,OB1OCc2ccccc21.COc1cc(Br)c(N)c(Br)c1>>COc1cc(-c2ccccc2CO)c(N)c(-c2ccccc2CO)c1,Ar-B*|Ar-Br -> Ar-Ar || Ar-NH2|Ar-OR,Ar-B*|Ar-Alkyl,Ar-Br,,Ar-Ar|Bn-OH,PD(PPH3)4,,K2CO3,,,,,,,EtOH/PhMe/H2O,NH2 / OR,"Chemical Science (2015), 6(1), 436-441",90,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,Ic1ccccc1.C[C@@H]1C=CB(O)O[C@H]1c1ccccc1>>C[C@@H](/C=C\c1ccccc1)[C@H](O)c1ccccc1,Alkenyl-B*|Ar-I -> Ar-Alkenyl || Ar-Alkyl,Ar-I,Alkenyl-B*,,Ar-Alkenyl|R2CH-OH,PD(PPH3)4,,,,,,CsF,,,THF/H2O,,"Organic Letters (2017), 19(15), 4054-4057",90,0.0
suzuki_miyaura_sample500,Unknown,Cc1ccc(I)cc1.OB1OC2(CCCCC2)C(C#Cc2ccccc2)=C1c1ccc(C(F)(F)F)cc1>>Cc1ccc(/C(=C(/C#Cc2ccccc2)C2(O)CCCCC2)c2ccc(C(F)(F)F)cc2)cc1,Alkenyl-B*|Ar-I -> R3C-OH || Ar-Alkenyl|Ar-Alkyl|Ar-Alkynyl|Ar-CF3,Ar-I,Alkenyl-B*,,R3C-OH,Pd(P(t-Bu)3)2,,KOH,,,,,,,Dioxane/H2O,CF3,"Journal of the American Chemical Society (2017), 139(36), 12358-12361",82,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,COc1ccc(B2O[C@@H]3[C@H](O2)[C@@H]2C(Br)=C[C@H]3n3c(=O)n(C)c(=O)n32)cc1>>COc1ccc(C2=C[C@@H]3[C@H](O)[C@H](O)[C@H]2n2c(=O)n(C)c(=O)n23)cc1,Ar-B(OR)2 -> Ar-Alkenyl || Alkyl-AromN|Ar-OR,Ar-B(OR)2|Alkenyl-Br,,,Ar-Alkenyl|R2CH-OH,dppf-PdCl2,,Et3N,HCl,,,,,,THF/H2O,AromN / OR,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052",73,0.0
