reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
suzuki_miyaura_sample500,Unknown,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@](C)(Br)[C@H]2O)C[C@@H]1O[Si](C)(C)C(C)(C)C.[F-][B+3]([F-])([F-])[C-]1=CC2=CC=CC=C2O1.[K+]>>CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@@](C)(O)[C@H]2c2cc3ccccc3o2)C[C@@H]1O[Si](C)(C)C(C)(C)C,|Inorganic|R2CH-OH|R3C-Br|Unclassified-Reactant -> Ar-Alkyl|Benzofuran|HeteroAr-H|R3C-OH | spectators: Alkyl-Si*|Ar-CONR2|R2CH-LactamN|R2CH-OR|R3C-CONR2,R2CH-OH|R3C-Br,,Inorganic,Ar-Alkyl|Benzofuran|HeteroAr-H|R3C-OH,,,Et3N/NaHCO3,BF3-Et2O,,,,,1903724-45-7,Me2CO/MeCN/H2O,CONR2 / LactamN / OR / Si*,"European Journal of Organic Chemistry (2017), 2017(4), 880-891",75,0.0
suzuki_miyaura_sample500,Oxidation_alcohol,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@](C)(Br)[C@H]2O)C[C@@H]1O[Si](C)(C)C(C)(C)C.O=CC1=CC=[C-]([B+3]([F-])([F-])[F-])O1.[K+]>>CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@@](C)(O)[C@H]2c2ccc(C=O)o2)C[C@@H]1O[Si](C)(C)C(C)(C)C,|Inorganic|R2CH-OH|R3C-Br|Unclassified-Reactant -> Ar-CHO | spectators: Alkyl-Si*|Ar-CONR2|R2CH-LactamN|R2CH-OR|R3C-CONR2,R2CH-OH|R3C-Br,,Inorganic,Ar-Alkyl|Ar-CHO|Furan|HeteroAr-H|R3C-OH,,,Et3N/NaHCO3,BF3-Et2O,,,,,1903724-45-7,Me2CO/MeCN/H2O,CONR2 / LactamN / OR / Si*,"European Journal of Organic Chemistry (2017), 2017(4), 880-891",84,0.0
suzuki_miyaura_sample500,Unknown,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@](C)(Br)[C@H]2O)C[C@@H]1O[Si](C)(C)C(C)(C)C.[F-][B+3]([F-])([F-])[C-]1=CC=CS1.[K+]>>CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@@](C)(O)[C@H]2c2cccs2)C[C@@H]1O[Si](C)(C)C(C)(C)C,|Inorganic|R2CH-OH|R3C-Br|Unclassified-Reactant -> Ar-Alkyl|HeteroAr-H|R3C-OH|Thiophene | spectators: Alkyl-Si*|Ar-CONR2|R2CH-LactamN|R2CH-OR|R3C-CONR2,R2CH-OH|R3C-Br,,Inorganic,Ar-Alkyl|HeteroAr-H|R3C-OH|Thiophene,,,Et3N/NaHCO3,BF3-Et2O,,,,,1903724-45-7,Me2CO/MeCN/H2O,CONR2 / LactamN / OR / Si*,"European Journal of Organic Chemistry (2017), 2017(4), 880-891",82,0.0
suzuki_miyaura_sample500,Unknown,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@](C)(Br)[C@H]2O)C[C@@H]1O[Si](C)(C)C(C)(C)C.[F-][B+3]([F-])([F-])[C-]1=COC=C1.[K+]>>CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C(=O)N(C(=O)c3ccccc3)C(=O)[C@@](C)(O)[C@H]2c2ccoc2)C[C@@H]1O[Si](C)(C)C(C)(C)C,|Inorganic|R2CH-OH|R3C-Br|Unclassified-Reactant -> Ar-Alkyl|Furan|HeteroAr-H|R3C-OH | spectators: Alkyl-Si*|Ar-CONR2|R2CH-LactamN|R2CH-OR|R3C-CONR2,R2CH-OH|R3C-Br,,Inorganic,Ar-Alkyl|Furan|HeteroAr-H|R3C-OH,,,Et3N/NaHCO3,BF3-Et2O,,,,,1903724-45-7,Me2CO/MeCN/H2O,CONR2 / LactamN / OR / Si*,"European Journal of Organic Chemistry (2017), 2017(4), 880-891",84,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,CC1(C)OB(c2ccc(CBr)cc2)OC1(C)C.Ic1ccc(-[n+]2ccc(-c3ccncc3)cc2)cc1.[Cl-]>>OCc1ccc(-c2ccc(-[n+]3ccc(-c4ccncc4)cc3)cc2)cc1.[Cl-],|Ar-Bpin|Ar-I|Bn-Br -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: B-O; Br-C; B-C(ar); C(ar)-I | spectators: Ar-Ar|Ar-AromN|HeteroAr-H|Inorganic|Pyridine,Ar-Bpin|Bn-Br,Ar-I,Inorganic,Ar-Ar|Bn-OH,Pd(OAc)2,,Na2CO3,,,,,,,H2O,Pyridine / AromN / HeteroAr / Inorganic,"Chemistry - A European Journal (2019), 25(13), 3257-3261",99,0.0
suzuki_miyaura_sample500,Unknown,Ic1ccccc1.COc1ccc2nc(C3=C(/C=C/c4ccccc4)C(C)OB3O)sc2c1>>COc1ccc2nc(/C(=C(\C=C\c3ccccc3)C(C)O)c3ccccc3)sc2c1,|Alkenyl-B*|Ar-I -> R2CH-OH | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: B-C; B-O; C(ar)-I | spectators: Alkenyl-Alkenyl|Ar-Alkenyl|Ar-OR|HeteroAr-H|Thiazole,Ar-I,Alkenyl-B*,,R2CH-OH,Pd(PPh3)4,,K3PO4,,,,,,,DMF/H2O,Thiazole / HeteroAr / OR,"Organic Letters (2015), 17(6), 1605-1608",90,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,OB1OCc2c1ccc(F)c2F.Nc1nc(Cl)nc(NCc2cccc(F)c2)n1>>Nc1nc(NCc2cccc(F)c2)nc(-c2ccc(F)c(F)c2CO)n1,|Ar-Alkyl|Ar-B*|HeteroAr-Cl -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: C(ar)-Cl; B-C(ar); B-O | spectators: Ar-F|HeteroAr-NH2|HeteroAr-NHR,Ar-B*|Ar-Alkyl,HeteroAr-Cl,,Ar-Ar|Bn-OH,Pd(PPh3)4,,K2CO3,,,,,,,Dioxane/H2O,NH2 / NHR / F,"Nature (London, United Kingdom) (2015), 527(7579), 477-483",86,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,Ic1ccccc1.CC1OB(O)C(c2nc3ccccc3o2)=C1/C=C/c1ccccc1>>CC(O)C(/C(=C/c1ccccc1)c1ccccc1)=C(\c1ccccc1)c1nc2ccccc2o1,|Alkenyl-B*|Ar-I -> Ar-Alkenyl | bond_formed: C-C(ar); C-C(ar); C(ar)-C(ar); C(ar)-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkenyl]; C-C(ar); C(ar)-C(ar); C(ar)-C(ar) | bond_broken: B-O; B-C; C(ar)-I | spectators: Alkenyl-Alkenyl|Ar-Alkenyl|HeteroAr-H|Oxazole,Ar-I,Alkenyl-B*,,Ar-Alkenyl|R2CH-OH,Pd(PPh3)4,,K3PO4,,,,,,,PhMe/H2O,Oxazole / HeteroAr,"Organic Letters (2015), 17(6), 1605-1608",71,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,OB1OCc2ccccc21.CC(C)(C)c1cc(Br)c(N)c(Br)c1>>CC(C)(C)c1cc(-c2ccccc2CO)c(N)c(-c2ccccc2CO)c1,|Ar-B*|Ar-Br -> Ar-Ar | bond_formed: C(ar)-C(ar); C(ar)-C(ar); C-C(ar); C-C(ar); C-C(ar); C-O | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar]; C(ar)-C(ar); C-C(ar); C-C(ar); C-C(ar); C-O | bond_broken: Br-C(ar); B-C(ar); B-O | spectators: Ar-Alkyl|Ar-NH2,Ar-B*|Ar-Alkyl,Ar-Br|Ar-Alkyl,,Ar-Ar|Bn-OH,Pd(PPh3)4,,K2CO3,,,,,,,EtOH/PhMe/H2O,NH2,"Chemical Science (2015), 6(1), 436-441",90,0.0
suzuki_miyaura_sample500,Suzuki_miyaura,OB1OCc2ccccc21.CCCCCCCCCCc1cc(Br)c(N)c(Br)c1>>CCCCCCCCCCc1cc(-c2ccccc2CO)c(N)c(-c2ccccc2CO)c1,|Ar-B*|Ar-Br -> Ar-Ar | bond_formed: C(ar)-C(ar); C-O; C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar]; C-O; C(ar)-C(ar) | bond_broken: Br-C(ar); B-O; B-C(ar) | spectators: Ar-Alkyl|Ar-NH2,Ar-B*|Ar-Alkyl,Ar-Br|Ar-Alkyl,,Ar-Ar|Bn-OH,Pd(PPh3)4,,K2CO3,,,,,,,EtOH/PhMe/H2O,NH2,"Chemical Science (2015), 6(1), 436-441",93,0.0
