reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Reductive_amination,Reductive_amination,CC1(C)OCC(=O)CO1.Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCNC2>>Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)C2,|Bn-NHR|RCH2-COR|RCH2-OR|R_acidic-H -> Bn-NR2 | spectators: Ar-Alkyl|Ar-Ar|Ar-CN|Ar-OR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:-1 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:benzylic+ewg_activated | nclass:alcohol_or_phenol+amine+carbon_nucleophile_like | amb:0,RCH2-COR|R_acidic-H|RCH2-OR,Bn-NHR,,Bn-NR2|RCH2-OH,,,NaHCO3,HCl,,NaBHOAc3-80%,,,,DCM/H2O/THF/Et2O/MeOH,CN / OR,"Journal of Medicinal Chemistry (2011), 54(19), 6724-6733",83.0,0.0
Reductive_amination,Reductive_amination,O=Cc1ccc(O)cc1.CC1(C)O[C@H]2[C@@H](O1)[C@@H](N)C[C@H]1OC(C)(C)O[C@H]21>>Oc1ccc(CN[C@H]2C[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)cc1,|Ar-CHO|R2CH-NH2|R3C-OR -> Bn-NHR | spectators: Ar-OH,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:-2 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+amine | amb:0,Ar-CHO,R2CH-NH2|R3C-OR,,Bn-NHR|R2CH-OH,,,,,,,AcOH/TFA,,25895-60-7/11119-67-8,H2O/MeOH,OH,"Bioorganic & Medicinal Chemistry Letters (2015), 25(12), 2570-2573",65.0,0.0
Reductive_amination,Reductive_amination,COc1cc(C=O)ccc1O.CC1(C)O[C@H]2[C@@H](O1)[C@@H](N)C[C@H]1OC(C)(C)O[C@H]21>>COc1cc(CN[C@H]2C[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)ccc1O,|Ar-CHO|R2CH-NH2|R3C-OR -> Bn-NHR | spectators: Ar-OH|Ar-OR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:-2 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+amine | amb:0,Ar-CHO,R2CH-NH2|R3C-OR,,Bn-NHR|R2CH-OH,,,,,,,AcOH/TFA,,25895-60-7/11119-67-8,H2O/MeOH,OH / OR,"Bioorganic & Medicinal Chemistry Letters (2015), 25(12), 2570-2573",50.0,0.0
Reductive_amination,Reductive_amination,O=Cc1cccnc1.CC1(C)O[C@H]2[C@@H](O1)[C@@H](N)C[C@H]1OC(C)(C)O[C@H]21>>O[C@@H]1[C@@H](O)[C@H](O)C[C@H](NCc2cccnc2)[C@@H]1O,|Ar-CHO|R2CH-NH2|R3C-OR -> Bn-NHR | spectators: HeteroAr-H|Pyridine,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:-2 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+amine | amb:0,Ar-CHO,R2CH-NH2|R3C-OR,,Bn-NHR|R2CH-OH,,,,,,,AcOH/TFA,,25895-60-7/11119-67-8,H2O/MeOH,Pyridine / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2015), 25(12), 2570-2573",85.0,0.0
Reductive_amination,Reductive_amination,O=CC(=O)c1ccccc1.CC1(C)O[C@H]2[C@@H](O1)[C@@H](N)C[C@H]1OC(C)(C)O[C@H]21>>OC(CN[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)c1ccccc1,|Ar-COR|R2CH-NH2|R3C-OR -> R2CH-NHR|RCH2-NHR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:-2 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+amine | amb:0,Ar-COR,R2CH-NH2|R3C-OR,,Ar-Alkyl|R2CH-NHR|R2CH-OH|RCH2-NHR,,,,,,,AcOH/TFA,,25895-60-7/11119-67-8,H2O/MeOH,,"Bioorganic & Medicinal Chemistry Letters (2015), 25(12), 2570-2573",50.0,0.0
Reductive_amination,Alkyl_Nucleophilic_Substitution,O=Cc1ccc(O)c(C(=O)O)c1.CO.CNC.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>>COC(=O)c1cc(CN(C)C)ccc1OS(=O)(=O)C(F)(F)F,|Alkyl-F|Ar-CHO|Ar-COOH|Ar-OH|CH3-NHR|CH3-OH -> Bn-NR2,"sig:Amid+C-N | redox:net_oxidation | redox_conf:0.55 | q:medium(0.55) | q_reason:amidation_without_explicit_activation_marker,mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:amidation_like+c_n_bond_formation+intermolecular_or_multi_component | fam:acyl_transfer+bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | ringd:0 | anom:amidation_without_explicit_activation_marker,mapping_unreliable_fallback_used,multi_transform_record_possible | mech:acyl_substitution | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+amine | amb:0",Ar-CHO|Ar-COOH|Ar-OH,CH3-OH,CH3-NHR,Ar-COOR|Ar-OTf|Bn-NR2,,,KHCO3/Pyridine,,,,,,Benzyl Bromide/25895-60-7,DMF/MeOH/DCM,,"Journal of Medicinal Chemistry (2014), 57(3), 955-969",22.0,0.0
Reductive_amination,Alkyl_Nucleophilic_Substitution,Nc1ccccc1.CC(C)(C)OC(=O)N1CC(C=O)C1.Cc1ccccc1CCl.O=C(O)C(F)(F)F>>Cc1ccccc1CN(CC1CNC1)c1ccccc1.O=C(O)C(F)(F)F,|Ar-NH2|Bn-Cl|R2CH-CHO|R_acidic-H -> Ar-NR2|RCH2-NHR | spectators: Alkyl-COOH|Alkyl-F|Ar-Alkyl,sig:LGDisp+C-N | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl;C-O | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0,Ar-NH2,R2CH-CHO|R_acidic-H,Bn-Cl,Ar-NR2|RCH2-NHR,,,NaOH/K2CO3,,,NaBHOAc3-80%,AcOH,,,DCM/H2O/DMF,COOH / F,"ACS Medicinal Chemistry Letters (2014), 5(9), 999-1004",56.0,-1.13
Reductive_amination,Reductive_amination,CC(C)N.CC(C)(C)OC(=O)N1CC(C=O)C1.ClCc1ccccc1>>CC(C)N(Cc1ccccc1)CC1CNC1,|Bn-Cl|R2CH-CHO|R2CH-NH2|R_acidic-H -> Bn-NR2|RCH2-NHR,"sig:LGDisp+C-N | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl;C-O | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor+SN2 | risk:overreaction_or_chemoselectivity,substitution_vs_elimination | ehyb:sp3 | eenv:benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",R2CH-NH2,R2CH-CHO|R_acidic-H,Bn-Cl,Bn-NR2|RCH2-NHR,,,NaOH/K2CO3,,,NaBH4,TFA,,,PhMe/MeOH/H2O/DMF/DCM,,"ACS Medicinal Chemistry Letters (2014), 5(9), 999-1004",49.0,-0.58
Reductive_amination,Reductive_amination,NC1CCCCC1.CC(C)(C)OC(=O)N1CC(C=O)C1.Fc1ccccc1CCl>>Fc1ccccc1CN(CC1CNC1)C1CCCCC1,|Bn-Cl|R2CH-CHO|R2CH-NH2|R_acidic-H -> Bn-NR2|RCH2-NHR | spectators: Ar-F,"sig:LGDisp+C-N | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl;C-O | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor+SN2 | risk:overreaction_or_chemoselectivity,substitution_vs_elimination | ehyb:sp3 | eenv:benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",R2CH-NH2,R2CH-CHO|R_acidic-H,Bn-Cl,Bn-NR2|RCH2-NHR,,,NaOH/K2CO3,,,NaBH4,TFA,,,PhMe/MeOH/H2O/DMF/DCM,F,"ACS Medicinal Chemistry Letters (2014), 5(9), 999-1004",41.0,0.0
Reductive_amination,Reductive_amination,C=CCCC=O.C[C@H](N)c1ccccc1.COC(=O)CBr>>C=CCCCN(CC(=O)OC)[C@@H](C)c1ccccc1,|R2CH-NH2|RCH2-Br|RCH2-CHO -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Alkyl|RCH2-Alkenyl|RCH2-COOR|R_acidic-H,"sig:LGDisp+C-N | form:C-N | form_labeled:C-N | break:Br-C;C-O | redox:net_reduction | redox_conf:0.75 | q:high(1.00) | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:0 | mech:E2_competitor+SN2 | risk:overreaction_or_chemoselectivity,substitution_vs_elimination | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",RCH2-CHO|R_acidic-H,R2CH-NH2,R_acidic-H|RCH2-Br,R2CH-NR2|RCH2-NR2,,,Et3N,,,NaBH4,,,,DCM/MeOH/DMSO,COOR,"Journal of Medicinal Chemistry (2006), 49(15), 4544-4567",80.0,0.0
