reaction_id,detected_reaction_type,reaction_smiles,yield,z_score,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,Reaction_Key
C-N Coupling_sample500,buchwald_hartwig_cn,C1CC2(CCN1)OCCO2.Clc1ccc2sccc2c1>>O=C1CCN(c2ccc3sccc3c2)CC1,64,0.0,RCH2-NHR|RCH2-OR,Ar-Cl,,Ar-NR2|RCH2-COR|R_acidic-H,Pd(OAc)2,RuPhos,NaOtBu/NaOH,HCl,,,NH4Cl,,,PhMe/H2O/Me2CO/EtOAc,Benzothiophene,"Journal of the American Chemical Society (2021), 143(14), 5330-5335",Ar-Cl|RCH2-NHR -> RCH2-COR || Benzothiophene
C-N Coupling_sample500,buchwald_hartwig_cn,CC(C)(C)OC(=O)N1CCCC[C@H](N)C1.Oc1cc(Br)c2ccncc2c1.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>>CC(C)(C)OC(=O)N1CCCC[C@H](Nc2cc(OS(=O)(=O)C(F)(F)F)cc3cnccc23)C1,85,0.0,R2CH-NH2,Ar-Br|Ar-OH,Ar-N(R)SO2R|Alkyl-SO2NR2|Alkyl-F,Ar-NHR|Ar-OTf,Pd2(dba)3,DavePhos,NaOtBu/Et3N,,,,,,,Dioxane,Isoquinoline / N(R)CO2R,"Journal of Medicinal Chemistry (2020), 63(13), 7143-7162",Ar-Br|Ar-N(R)SO2R|R2CH-NH2 -> Ar-OTf || Alkyl-N(R)CO2R|Isoquinoline
C-N Coupling_sample500,,COC(=O)CC1CNc2ccccc21.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>COC(=O)Cc1cn([C@]2(CCN=[N+]=[N-])C(=O)Nc3ccccc32)c2ccccc12,57,0.0,Ar-NHR|RCH2-CO2R|Ar-Alkyl,R3C-Br|Ar-Alkyl,,Alkyl-AromN|Bn-CO2R,NiOAc2,,DABCO,,DDQ,,,,229184-98-9,MTBE/DCM,N(R)COR / N3,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Bn-CO2R || Ar-Alkyl|Ar-N(R)COR|RCH2-N3|R_acidic-H
C-N Coupling_sample500,buchwald_hartwig_cn,Clc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Cl)ccc32)C(=O)Nc2ccccc21,82,0.36,Ar-NHR,R3C-Br,,Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Cl / N(R)COR / N3,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Cl|Ar-N(R)COR|RCH2-N3
C-N Coupling_sample500,buchwald_hartwig_cn,Brc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(Br)cc32)C(=O)Nc2ccccc21,85,0.71,Ar-NHR,R3C-Br,,Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Br / N(R)COR / N3,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Br|Ar-N(R)COR|RCH2-N3
C-N Coupling_sample500,buchwald_hartwig_cn,Brc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Br)ccc32)C(=O)Nc2ccccc21,71,-0.71,Ar-NHR,R3C-Br,,Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Br / N(R)COR / N3,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Br|Ar-N(R)COR|RCH2-N3
C-N Coupling_sample500,,c1ccc2c(c1)CCN2.COc1ccc2c(c1)C(Br)(CCN=[N+]=[N-])C(=O)N2>>COc1ccc2c(c1)[C@](CCN=[N+]=[N-])(N1CCc3ccccc31)C(=O)N2,87,0.71,Ar-NHR,R3C-Br,,Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,N(R)COR / N3 / OR,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-N(R)COR|Ar-OR|RCH2-N3
C-N Coupling_sample500,,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,90,0.56,Ar-NHR,R3C-Br,,Ar-NR2,NiOAc2,,K3PO4,,,,,,229184-98-9,THF,N(R)COR / N3,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-N(R)COR|RCH2-N3
C-N Coupling_sample500,buchwald_hartwig_cn,Fc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(F)cc32)C(=O)Nc2ccccc21,86,0.71,Ar-NHR,R3C-Br,,Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,F / N(R)COR / N3,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-F|Ar-N(R)COR|RCH2-N3
C-N Coupling_sample500,buchwald_hartwig_cn,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccc(Cl)cc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccc(Cl)cc21,72,-1.07,Ar-NHR,R3C-Br,,Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Cl / N(R)COR / N3,"Organic Letters (2014), 16(9), 2394-2397",Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Cl|Ar-N(R)COR|RCH2-N3
