reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,|[] -> Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH|Bn-OR | spectators: Ar-Alkyl,Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH|Bn-OR,,,,,O2,,,,,,,"Catalysis Communications (2011), 12(7), 669-672",0.0,0.0
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,|[] -> Ar-Alkyl|Ar-CHO|Ar-CO2H|Bn-OH | spectators: Ar-Alkyl,Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-CO2H|Bn-OH,,,,,O2,,,,110-83-8,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,|[] -> Ar-Alkyl|Ar-CHO|Ar-CO2H|Bn-OH | spectators: Ar-Alkyl,Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-CO2H|Bn-OH,,,,,,,,,7782-42-5,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,|[] -> Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH | spectators: Ar-Alkyl,Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH,,,,,O2,,,,110-83-8/7782-42-5,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(Br)cc1>>O=C(O)c1ccc(Br)cc1.O=Cc1ccc(Br)cc1,|Ar-Alkyl -> Ar-Br|Ar-CHO|Ar-CO2H | bond_formed: C-O; C-O | bond_formed_labeled: C-O; C-O | spectators: Ar-Br,Ar-Alkyl,,,Ar-Br|Ar-CHO|Ar-CO2H,,,,,TBHP,,,,1384190-41-3,H2O,Br,"European Journal of Organic Chemistry (2012), 2012(16), 3088-3092, S3088/1-S3088/45",41.0,0.0
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(Cc2cncc(C)n2)cc1>>Cc1ccc(C(=O)c2cncc(C=O)n2)cc1,|Ar-Alkyl -> Ar-CHO|Ar-COR | bond_formed: C-O; C-O | bond_formed_labeled: C-O; C-O | spectators: HeteroAr-H|Pyrimidine,Ar-Alkyl,,,Ar-CHO|Ar-COR,CuI,,,,O2,,AcOH,,,DMSO,Pyrimidine / HeteroAr,"Beilstein Journal of Organic Chemistry (2016), 12144-153",61.0,0.0
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(Cc2cccc(C)n2)cc1>>Cc1ccc(C(=O)c2cccc(C=O)n2)cc1,|Ar-Alkyl -> Ar-CHO|Ar-COR | bond_formed: C-O; C-O | bond_formed_labeled: C-O; C-O | spectators: HeteroAr-H|Pyridine,Ar-Alkyl,,,Ar-CHO|Ar-COR,CuI,,,,O2,,AcOH,,,DMSO,Pyridine / HeteroAr,"Beilstein Journal of Organic Chemistry (2016), 12144-153",62.0,0.0
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1cccc([N+](=O)[O-])c1>>O=Cc1cccc([N+](=O)[O-])c1,|Ar-Alkyl -> Ar-CHO | bond_formed: C-O | bond_formed_labeled: C-O | spectators: Ar-NO2,Ar-Alkyl,,,Ar-CHO,Co(acac)2,,,,TBHP,,,,,Me2CO,NO2,"Synthesis (2013), 45(5), 615-620",66.0,0.58
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,COc1cccc(C)c1>>COc1cccc(C=O)c1,|Ar-Alkyl -> Ar-CHO | bond_formed: C-O | bond_formed_labeled: C-O | spectators: Ar-OR,Ar-Alkyl,,,Ar-CHO,Co(acac)2,,,,TBHP,,,,,Me2CO,OR,"Synthesis (2013), 45(5), 615-620",80.0,0.25
Oxidation_of_Arylmethanes_to_Aldehydes,Unknown,Cc1ccc(Cl)cc1>>O=Cc1ccc(Cl)cc1,|Ar-Alkyl -> Ar-CHO | bond_formed: C-O | bond_formed_labeled: C-O | spectators: Ar-Cl,Ar-Alkyl,,,Ar-CHO,Co(acac)2,,,,TBHP,,,,,Me2CO,Cl,"Synthesis (2013), 45(5), 615-620",71.0,-0.17
