reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(OC(C)C)c1ccccc1,|Alkyl-COR|R_acidic-H -> [] | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",82,0.73
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OC(C)C)c1ccccc1)c1ccccc1,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N,Ar-COR,Ar-H|Alkyl-H,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",78,-0.09
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CCCCCOP(=O)(NN)c1ccccc1>>CCCCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,|Ar-COR -> Ar-C=N | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O,Ar-COR,Ar-H|Alkyl-H,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",94,0.62
Oximehy_drazone_formation,Event:C-N,CN(C)N.C#CCOCC#CCCCC=O>>C#CCOCC#CCCC/C=N/N(C)C,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkyl-Alkynyl_terminal|Propargyl-H|RCH2-OR,Alkyl-Hydrazine,RCH2-CHO|R_acidic-H,,CH3-NR2,,,,,,,,,,MeOH,Alkynyl_terminal / OR,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",98,0.0
Oximehy_drazone_formation,Event:C-N,CN(C)N.COC(=O)C#CCOCC#CCCCC=O>>COC(=O)C#CCOCC#CCCC/C=N/N(C)C,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkynyl-CO2R|Propargyl-H|RCH2-OR,Alkyl-Hydrazine,RCH2-CHO|R_acidic-H,,CH3-NR2,,,,,,,,,,THF,CO2R / OR,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",62,0.0
Oximehy_drazone_formation,Event:C-N,CN(C)N.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C>>CC(C)[Si](C#CC#CCOCC#CCCC/C=N/N(C)C)(C(C)C)C(C)C,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkynyl-Si*|Propargyl-H|RCH2-OR,Alkyl-Hydrazine,RCH2-CHO|R_acidic-H,,CH3-NR2,,,,,,,,,,MeOH,OR / Si*,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",85,0.0
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CC(C)COP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OCC(C)C)c1ccccc1)c1ccccc1,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N,Ar-COR,Ar-H|Alkyl-H,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",85,1.22
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCCN(CCC)P(=O)(NN)c1ccccc1>>CCCN(CCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",85,0.27
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C,|Alkyl-COR|R_acidic-H -> [] | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",76,-1.14
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCCCOP(=O)(NN)c1ccccc1>>CCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",73,-1.78
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCCCCOP(=O)(NN)c1ccccc1>>CCCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",86,0.44
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CCCN(CCC)P(=O)(NN)c1ccccc1>>CCCN(CCC)P(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N,Ar-COR,Ar-H|Alkyl-H,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",79,0.09
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C)c1ccccc1,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N,Ar-COR,Ar-H|Alkyl-H,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",72,-1.22
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCN(CC)P(=O)(NN)c1ccccc1>>CCN(CC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR|R_acidic-H -> [] | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",81,0.41
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCCCN(CCCC)P(=O)(NN)c1ccccc1>>CCCCN(CCCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",86,0.44
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCCOP(=O)(NN)c1ccccc1>>CCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",87,0.61
