reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Fischer_esterification,Esterification,O=C(O)c1ccc(O)cc1.CCCCCCCBr.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>CCCCCCCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|RCH2-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,Ar-CO2H|Ar-OH,RCH2-Br,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,O=C(O)c1ccc(O)cc1.CCCCCCCCBr.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>CCCCCCCCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|RCH2-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,Ar-CO2H|Ar-OH,RCH2-Br,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,CO.O=C(O)Cc1ccc(CBr)cc1>>COCc1ccc(CC(=O)OC)cc1,|Ar-Alkyl|Bn-Br|CH3-OH|RCH2-CO2H -> Bn-CO2R | bond_formed: C-O; C-O | bond_formed_labeled: C-O; C-O | bond_broken: Br-C | spectators: R_acidic-H | events: LGDisp+C-O,CH3-OH,RCH2-CO2H|Bn-Br|Ar-Alkyl,,Bn-CO2R|Bn-OR,,,,,,,,,1109-15-5,MeOH,,"Asian Journal of Organic Chemistry (2021), 10(6), 1424-1427",94.0,0.0
Fischer_esterification,Esterification,O=C(O)c1ccc(O)cc1.CCCCCCCCCCCCBr.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>CCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|RCH2-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,Ar-CO2H|Ar-OH,RCH2-Br,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,O=C(O)c1ccc(O)cc1.CCCBr.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>CCCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|RCH2-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,Ar-CO2H|Ar-OH,RCH2-Br,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,O=C(O)c1ccc(O)cc1.CCCCBr.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>CCCCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|RCH2-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,Ar-CO2H|Ar-OH,RCH2-Br,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,CBr.O=C(O)c1ccc(O)cc1.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>COc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|CH3-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,CH3-Br,Ar-CO2H|Ar-OH,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,O=C(O)c1ccc(O)cc1.CCCCCBr.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>CCCCCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|RCH2-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,Ar-CO2H|Ar-OH,RCH2-Br,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,O=C(O)c1ccc(O)cc1.CCCCCCBr.COc1cc(/N=N/c2ccc(Cl)c(Cl)c2)ccc1O>>CCCCCCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(Cl)c(Cl)c3)cc2OC)cc1,|Ar-CO2H|Ar-OH|RCH2-Br -> Ar-CO2R | spectators: Ar-Cl|Ar-OR | events: LGDisp+C-O,Ar-CO2H|Ar-OH,RCH2-Br,Ar-OH,Ar-CO2R|Ar-OR,,,KOH/Pyridine,HCl,SOCl2,,,,,MeOH/H2O,Cl / OR,"Molecular Crystals and Liquid Crystals (2013), 570(1), 84-91",0.0,0.0
Fischer_esterification,Esterification,NCCCC(=O)O.OCc1ccccc1>>Cc1ccc(S(=O)(=O)O)cc1.NCCCC(=O)OCc1ccccc1,|Bn-OH|RCH2-CO2H -> RCH2-CO2R | spectators: RCH2-NH2|R_acidic-H | events: Ann+C-C,RCH2-CO2H,Bn-OH,,Ar-Alkyl|RCH2-CO2R,,,,,,,,,6192-52-5,PhMe,NH2,"Tetrahedron Letters (2015), 56(48), 6803-6806",90.0,0.0
