Reaction_Type_Standardized,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Any-NH2|Ar-OH|R-CONH2|R3C-Br -> Any-NHR|Ar-Cl|Ar-NHR|R-CONHR|R3C-OH || Ar-Cl,"Any-NH2,R3C-Br,R-CONH2","Ar-Cl,Ar-OH","Any-NH2,R3C-Br,R-CONH2|Ar-Cl,Ar-OH",78.0,CC(C)(Br)C(N)=O.Oc1cc(Cl)c(/N=N/c2c(Cl)cccc2Cl)c(Cl)c1>>CC(C)(O)C(=O)Nc1cc(Cl)c(/N=N/c2c(Cl)cccc2Cl)c(Cl)c1,,,Cs2CO3 / NaOH,DMF,,,,0.0
Ar-Cl|R3C-OR|RCH2-NHR|RCH2-OR -> Any-CO-R|Ar-NR2|R-H-acidic|RCH2-NR2 || None,"RCH2-NHR,RCH2-OR,R3C-OR",Ar-Cl,"Ar-Cl|RCH2-NHR,RCH2-OR,R3C-OR",64.0,C1CC2(CCN1)OCCO2.Clc1ccc2sccc2c1>>O=C1CCN(c2ccc3sccc3c2)CC1,Pd(OAc)2,RuPhos,NaOtBu / NaOH,PhMe / water / Me2CO / EtOAc,NH4Cl,,,0.0
Ar-Br|Ar-NR2|Ar-OH|R-SO2NR2|R2CH-NH2|R3C-F -> Ar-NHR|Ar-OTf|R2CH-NHR|RCH2-NR2 || Any-Ester|RCH2-NR2,"R2CH-NH2,RCH2-NR2,Any-Ester","Ar-Br,Ar-OH","Ar-Br,Ar-OH|R2CH-NH2,RCH2-NR2,Any-Ester",85.0,CC(C)(C)OC(=O)N1CCCC[C@H](N)C1.Oc1cc(Br)c2ccncc2c1.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>>CC(C)(C)OC(=O)N1CCCC[C@H](Nc2cc(OS(=O)(=O)C(F)(F)F)cc3cnccc23)C1,Pd2(dba)3,DavePhos,NaOtBu / Et3N,"1,4-Dioxane",,,,0.0
Ar-NHR|R3C-Br|RCH2-NHR -> R-AromN|R-H-acidic || Any-Lactam|Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR|R-H-acidic|RCH2-Ester,"R-H-acidic,Ar-R,Ar-NHR,RCH2-NHR,RCH2-Ester","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3|R-H-acidic,Ar-R,Ar-NHR,RCH2-NHR,RCH2-Ester",57.0,COC(=O)CC1CNc2ccccc21.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>COC(=O)Cc1cn([C@]2(CCN=[N+]=[N-])C(=O)Nc3ccccc32)c2ccccc12,NiOAc2,229184-98-9,Dabco,MTBE / DCM,,,,0.0
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-Cl|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-Cl,Ar-NHR,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-Cl,Ar-NHR,RCH2-NHR|Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3",82.0,Clc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Cl)ccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.0
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-Br|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-Br,Ar-NHR,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-Br,Ar-NHR,RCH2-NHR|Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3",85.0,Brc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(Br)cc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.7071067811865476
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-Br|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-Br,Ar-NHR,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-Br,Ar-NHR,RCH2-NHR|Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3",71.0,Brc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Br)ccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,-0.7071067811865476
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR|RCH2-OR,"Ar-R,Ar-NHR,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,RCH2-OR,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,RCH2-OR,R3C-Br,R-CONHR,Any-Lactam,Any-N3|Ar-R,Ar-NHR,RCH2-NHR",87.0,c1ccc2c(c1)CCN2.COc1ccc2c(c1)C(Br)(CCN=[N+]=[N-])C(=O)N2>>COc1ccc2c(c1)[C@](CCN=[N+]=[N-])(N1CCc3ccccc31)C(=O)N2,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.0
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-NHR,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3|Ar-R,Ar-NHR,RCH2-NHR",90.0,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,K3PO4,THF,,,,0.5649013837894202
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-F|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-F,Ar-NHR,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-F,Ar-NHR,RCH2-NHR|Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3",86.0,Fc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(F)cc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.7071067811865476
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-Cl|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-NHR,RCH2-NHR","Ar-R,Ar-Cl,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-Cl,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3|Ar-R,Ar-NHR,RCH2-NHR",72.0,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccc(Cl)cc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccc(Cl)cc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.0
Ar-NHR|R3C-Br|RCH2-NHR -> Ar-NR2|R3C-NR2|RCH2-NR2 || Any-Lactam|Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-NHR,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-Lactam,Any-N3|Ar-R,Ar-NHR,RCH2-NHR",87.0,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.21183801892103238
